Mission_ID,类型,接取点_发布方,目标,时限,推荐_Danger,任务需求_示例,主要奖励,声望奖励,失败惩罚_备注
CYG-DLV-001,派送,铁砧-IV（铁骑）,将「标准军火箱」从 铁砧-IV 运至 塔洛斯,2 小时,1,"舰仓空位 ≥ 2；起飞电力 ≥ 120",800 星币,铁骑 +5,失败扣 600 星币违约金；货物占用舰仓。
CYG-DLV-002,派送,铁砧-IV（铁骑）,将「维修零件包」从 铁砧-IV 运至 灰烬 T-09,3 小时,0,"舰仓空位 ≥ 1；起飞电力 ≥ 60",450 星币,铁骑 +3,新手安全跑腿；可作为首次交互任务。
CYG-DLV-003,派送,折光（光斑）,将「机密数据盒」从 折光 运至 铁砧-IV,2 小时,1,"舰仓空位 ≥ 2；起飞电力 ≥ 150",900 星币,光斑 +5,失败扣 700 星币；途中遇敌时更易被锁定（可做隐藏参数）。
CYG-DLV-004,派送,锈蚀深渊（中立）,将「走私冷藏舱」从 锈蚀深渊 运至 折光,90 分钟,2,"舰仓空位 ≥ 3；起飞电力 ≥ 180",1400 星币,中立 +6,高回报但更容易触发遭遇；失败扣 1200 星币。
CYG-MIN-001,采矿定单,铁砧-IV（铁骑）,在 塔洛斯 采集「钛」× 5000,24 小时,1,"装配矿机 ≥ 1；电力上限 ≥ 500","2200 星币 + 30% 完成奖励",铁骑 +12,与资源枯竭教学强绑定；可引导返航交付。
CYG-MIN-002,采矿定单,铁砧-IV（铁骑）,在 灰烬 T-09 采集「钛」× 1500,24 小时,0,装配矿机 ≥ 1,800 星币,铁骑 +6,安全低保版本；用于离线挂机引导。
CYG-MIN-003,采矿定单,折光（光斑）,在 西风-7 采集「钛」× 3000,24 小时,2,"装配矿机 ≥ 1；建议护盾值 ≥ 300",1800 星币,光斑 +10,气态巨星危险度较高，适合有护盾的玩家。
CYG-MIN-004,采矿定单,锈蚀深渊（中立）,在 阿尔法碎石带 采集「暗面废料」× 800,24 小时,3,"装配矿机 ≥ 1；建议火力 ≥ 60",2600 星币,中立 +12,资源带高危；失败不扣款但耗时沉没成本高。
CYG-BTY-001,悬赏讨伐,铁砧-IV（铁骑）,在 阿尔法碎石带 击杀「拾荒者武装艇」× 8,6 小时,3,"建议防御 ≥ 20；建议火力 ≥ 80",2500 星币,铁骑 +15,战利品掉落加成：动能武器零件（中）。
CYG-BTY-002,悬赏讨伐,折光（光斑）,在 第 17 号船坟 击杀「机械丧尸」× 20,6 小时,4,"建议护盾 ≥ 600；建议火力 ≥ 110",3200 星币,光斑 +18,初期刷钱区导向；与动态航行遭遇系统强绑定。
CYG-BTY-003,悬赏讨伐,锈蚀深渊（中立）,在 第 17 号船坟 击杀「海盗头目：獠牙-7」× 1,3 小时,4,"建议护盾 ≥ 800；建议火力 ≥ 150","4800 星币 + 战利品箱",中立 +22,具名目标；可掉落「组件图纸碎片」（小概率）。
CYG-BTY-004,悬赏讨伐（挑战）,折光（光斑）,接近 X-1 白矮星并回收「放射性样本」× 30,2 小时,5,"强制护盾 ≥ 1000；建议电力上限 ≥ 800",6500 星币,光斑 +30,T1 终极挑战任务；失败不扣违约金，但会产生高维修成本。
